season_age,pick_group,x18,x19,x20,x21,x22,x23
18,1,2.426737656,NA,NA,NA,NA,NA
19,1,9.68844136,2.227152964,NA,NA,NA,NA
20,1,13.45640095,3.468589702,3.798445437,NA,NA,NA
21,1,15.49150067,6.230289482,3.781225337,5.678609958,NA,NA
22,1,17.75357567,4.668885173,5.1082713,7.539600102,2.732749317,NA
23,1,21.66293819,4.429277458,4.695468594,7.060363739,5.628212365,0.246312162
24,1,19.68570941,4.639382913,6.023498073,7.663035101,4.082390191,-0.952594389
25,1,14.32172711,5.54165084,5.815607865,10.00293298,5.912145524,2.829134358
26,1,13.19310607,5.486870303,6.495297056,10.15393256,5.519655993,3.293025863
27,1,15.27649282,2.283992714,8.506539309,9.955294966,4.547284282,0.487365911
28,1,9.955907505,2.347133633,5.691258515,7.181654048,2.332056513,-0.385704891
29,1,7.325567159,0.833791004,5.467608394,5.446265011,3.409962742,0.536820784
30,1,12.29889931,0.80972499,4.878512461,9.144281926,4.014746796,0.537782679
31,1,9.878734217,3.060762641,5.419329398,6.731349566,1.564941519,0.172126233
32,1,8.515725236,0.648748976,4.089165943,10.81993539,2.329055165,3.524508188
33,1,5.532326413,-0.462868913,2.129191469,6.757068021,0.532496902,-0.595087867
34,1,8.610466887,-0.300284237,0.878420875,3.928303453,0.761781404,1.957010051
35,1,8.2851682,NA,0.913292882,8.145940835,1.727971428,5.124332276
36,1,NA,NA,2.354645159,10.25310465,0.027231231,-0.320803227
37,1,NA,NA,1.006135764,7.489080481,NA,-0.149723089
38,1,NA,NA,1.464047241,8.215443114,NA,NA
39,1,NA,NA,NA,6.747551492,NA,NA
40,1,NA,NA,NA,NA,NA,NA
18,2-5,0.210444171,NA,NA,NA,NA,NA
19,2-5,1.119563246,1.06381968,NA,NA,NA,NA
20,2-5,1.811920622,3.638456488,1.268882405,NA,NA,NA
21,2-5,3.164518154,3.992745379,3.101237967,1.424973636,NA,NA
22,2-5,3.203505034,4.885706693,4.466342697,3.816295217,1.872292932,NA
23,2-5,3.174847828,5.65250449,4.5103124,6.357213615,2.627341067,2.011586968
24,2-5,3.14462371,6.086981006,6.009844931,4.178261945,3.145254485,6.766244956
25,2-5,1.415022234,6.619660228,5.032121541,5.088009966,3.78310041,10.3065604
26,2-5,3.017780404,7.684330158,4.811835688,5.917191322,4.09218471,5.977860454
27,2-5,5.916488864,7.615949646,5.353117705,4.946479542,3.080666327,5.139212652
28,2-5,3.642529191,7.71935961,6.633544067,4.863732956,3.593307296,9.600496856
29,2-5,5.636632607,6.210085835,6.002599421,4.289508365,3.834916599,7.4172079
30,2-5,1.021622866,4.900655695,5.596199394,4.773464375,2.257094038,8.108655317
31,2-5,4.443894608,3.345327079,5.128680253,4.321927651,3.3662306,6.154880522
32,2-5,0.320109333,4.286312614,4.586176639,3.993797272,3.58480569,9.350698539
33,2-5,0.847966798,3.508339421,3.037013129,3.738412023,1.476404592,8.389149587
34,2-5,1.063755443,4.801962399,3.425913464,2.495046392,1.234243265,-0.023110356
35,2-5,0.366114888,4.261781978,2.891478273,3.381828101,2.040094023,1.551233949
36,2-5,-0.123113204,2.903722832,1.170961898,4.525432961,1.300634794,3.307849769
37,2-5,NA,1.44223007,0.955317477,3.04685126,0.647127196,1.006981842
38,2-5,NA,1.943989074,NA,1.795370815,-0.316861771,3.128889862
