team_abb,raptor_pull_team,raptor_pull_id,link,raptor_pull,g_2021,mp_2021, pct_min_2021 , pct_exp_min_2022 , exp_min_2022 
ATL,Atlanta Hawks,huertke01,kevin-huerter,0.548872602,69,2126,0.12,0.12,2421
ATL,Atlanta Hawks,youngtr01,trae-young,2.684946945,63,2125,0.12,0.12,2420
ATL,Atlanta Hawks,capelca01,clint-capela,3.996875719,63,1898,0.11,0.11,2162
ATL,Atlanta Hawks,collijo01,john-collins,1.867394383,63,1848,0.11,0.11,2105
ATL,Atlanta Hawks,bogdabo01,bogdan-bogdanovic,2.897400265,44,1305,0.08,0.1,1968
ATL,Atlanta Hawks,reddica01,cam-reddish,-0.376152059,26,750,0.04,0.07,1378
ATL,Atlanta Hawks,gallida01,danilo-gallinari,0.845049691,51,1222,0.07,0.07,1400
ATL,Atlanta Hawks,okongon01,onyeka-okongwu,-0.744079961,50,601,0.04,0.06,1181
ATL,Atlanta Hawks,wrighde01,delon-wright,1.653339714,36,1052,0.06,0.06,1181
ATL,Atlanta Hawks,huntede01,deandre-hunter,0.393440329,23,678,0.04,0.05,984
ATL,Atlanta Hawks,willilo02,lou-williams,-2.476796858,42,918,0.05,0.05,984
ATL,Atlanta Hawks,dienggo01,gorgui-dieng,0.015401449,16,181,0.01,0.03,590
ATL,Atlanta Hawks,hillso01,solomon-hill,-2.670182036,71,1513,0.09,0.03,492
ATL,Atlanta Hawks,luwawti01,timothe-luwawu-cabarrot,-0.947312604,58,1050,0.06,0.02,295
ATL,Atlanta Hawks,goodwbr01,brandon-goodwin,-2.448147548,47,620,0.04,0.01,118
ATL,Atlanta Hawks,hamiljo03,johnny-hamilton,-2.161498534,NA,NA,0,0,0
ATL,Atlanta Hawks,johnsja05,jalen-johnson,-1.665897086,NA,NA,0,0,0
ATL,Atlanta Hawks,jeffrda01,daquan-jeffries,-1.259125563,13,261,0.02,0,0
BOS,Boston Celtics,brownja02,jaylen-brown,2.504655573,58,1999,0.12,0.13,2460
BOS,Boston Celtics,tatumja01,jayson-tatum,4.200833615,64,2290,0.13,0.13,2460
BOS,Boston Celtics,pritcpa01,payton-pritchard,-0.646681206,66,1268,0.07,0.09,1673
BOS,Boston Celtics,smartma01,marcus-smart,2.296410873,48,1581,0.09,0.09,1801
BOS,Boston Celtics,schrode01,dennis-schroder,0.175330018,61,1956,0.11,0.09,1732
BOS,Boston Celtics,williro04,robert-williams-iii,0.592656827,52,985,0.06,0.08,1574
BOS,Boston Celtics,richajo01,josh-richardson,-0.302046169,59,1790,0.1,0.08,1535
BOS,Boston Celtics,nesmiaa01,aaron-nesmith,-1.014575081,46,669,0.04,0.07,1279
BOS,Boston Celtics,horfoal01,al-horford,1.022583885,28,782,0.05,0.07,1378
BOS,Boston Celtics,willigr01,grant-williams,-1.601281555,63,1138,0.07,0.07,1296
BOS,Boston Celtics,kanteen01,enes-kanter,-0.30528599,72,1758,0.1,0.07,1378
BOS,Boston Celtics,arcidry01,ryan-arcidiacono,0.016957916,44,450,0.03,0.03,513
BOS,Boston Celtics,langfro01,romeo-langford,-0.1295558,18,283,0.02,0.02,305
BOS,Boston Celtics,hernaju01,juancho-hernangomez,-1.881694499,52,900,0.05,0.02,295
BOS,Boston Celtics,pinsoth01,theo-pinson,-3.089010902,17,34,0,0,0
BOS,Boston Celtics,fernabr01,bruno-fernando,-4.75757795,33,226,0.01,0,0
BOS,Boston Celtics,parkeja01,jabari-parker,-0.098960899,10,138,0.01,0,0
BOS,Boston Celtics,mathega01,garrison-mathews,0.594067626,64,1038,0.06,0,0
BRK,Brooklyn Nets,hardeja01,james-harden,6.287308644,8,290,0.02,0.13,2460
BRK,Brooklyn Nets,harrijo01,joe-harris,0.630188734,69,2141,0.12,0.12,2438
BRK,Brooklyn Nets,duranke01,kevin-durant,3.133274481,35,1157,0.07,0.11,2066
BRK,Brooklyn Nets,millspa01,paul-millsap,-0.199434114,56,1162,0.07,0.09,1673
BRK,Brooklyn Nets,millspa02,patty-mills,-0.691078537,68,1685,0.1,0.09,1752
BRK,Brooklyn Nets,claxtni01,nicolas-claxton,1.614067883,32,594,0.03,0.08,1476
BRK,Brooklyn Nets,griffbl01,blake-griffin,0.333480452,26,560,0.03,0.08,1476
BRK,Brooklyn Nets,brownbr01,bruce-brown,0.741596626,65,1451,0.08,0.08,1653
BRK,Brooklyn Nets,johnsja01,james-johnson,-3.108376004,29,504,0.03,0.06,1082
BRK,Brooklyn Nets,bembrde01,deandre-bembry,-1.204083267,51,972,0.06,0.06,1107
BRK,Brooklyn Nets,thomaca02,cameron-thomas,-4.580996094,NA,NA,0,0.05,895
