"player","BBRefID","BBRefBirthDate","season","pos","age","tm","g","gs","mp"
"A.C. Green","greenac01","1963-10-04","1997","PF",33,"DAL",56,54,1944
"A.C. Green","greenac01","1963-10-04","1992","PF",28,"LAL",82,53,2902
"A.C. Green","greenac01","1963-10-04","2001","PF",37,"MIA",82,1,1411
"A.C. Green","greenac01","1963-10-04","1991","PF",27,"LAL",82,21,2164
"A.C. Green","greenac01","1963-10-04","1993","PF",29,"LAL",82,55,2819
"A.C. Green","greenac01","1963-10-04","1997","PF",33,"PHO",27,19,548
"A.C. Green","greenac01","1963-10-04","1996","SF",32,"PHO",82,36,2113
"A.C. Green","greenac01","1963-10-04","1999","PF",35,"DAL",50,35,924
"A.C. Green","greenac01","1963-10-04","1998","PF",34,"DAL",82,68,2649
"A.C. Green","greenac01","1963-10-04","1994","PF",30,"PHO",82,55,2825
"A.C. Green","greenac01","1963-10-04","2000","PF",36,"LAL",82,82,1929
"A.C. Green","greenac01","1963-10-04","1990","PF",26,"LAL",82,82,2709
"A.C. Green","greenac01","1963-10-04","1995","SF",31,"PHO",82,52,2687
"A.J. Bramlett","bramlaj01","1977-01-10","2000","C",23,"CLE",8,0,61
"A.J. English","engliaj01","1967-07-11","1992","SG",24,"WSB",81,6,1665
"A.J. English","engliaj01","1967-07-11","1991","SG",23,"WSB",70,12,1443
"A.J. Guyton","guytoaj01","1978-02-12","2002","PG",23,"CHI",45,6,607
"A.J. Guyton","guytoaj01","1978-02-12","2003","PG",24,"GSW",2,0,9
"A.J. Guyton","guytoaj01","1978-02-12","2001","PG",22,"CHI",33,8,630
"A.J. Hammons","hammoaj01","1992-08-27","2017","C",24,"DAL",22,0,163
"A.J. Price","priceaj01","1986-10-07","2012","PG",25,"IND",44,1,568
"A.J. Price","priceaj01","1986-10-07","2010","PG",23,"IND",56,2,865
"A.J. Price","priceaj01","1986-10-07","2013","PG",26,"WAS",57,22,1278
"A.J. Price","priceaj01","1986-10-07","2015","PG",28,"CLE",11,0,87
"A.J. Price","priceaj01","1986-10-07","2011","PG",24,"IND",50,0,795
"A.J. Price","priceaj01","1986-10-07","2015","PG",28,"PHO",5,0,44
"A.J. Price","priceaj01","1986-10-07","2014","SG",27,"MIN",28,0,99
"A.J. Price","priceaj01","1986-10-07","2015","PG",28,"IND",10,0,193
"A.J. Wynder","wyndeaj01","1964-09-11","1991","PG",26,"BOS",6,0,39
"Aaron Brooks","brookaa01","1985-01-14","2016","PG",31,"CHI",69,0,1108
"Aaron Brooks","brookaa01","1985-01-14","2013","PG",28,"SAC",46,20,959
"Aaron Brooks","brookaa01","1985-01-14","2008","PG",23,"HOU",51,0,608
"Aaron Brooks","brookaa01","1985-01-14","2011","PG",26,"HOU",34,7,811
"Aaron Brooks","brookaa01","1985-01-14","2018","PG",33,"MIN",32,1,189
"Aaron Brooks","brookaa01","1985-01-14","2014","PG",29,"HOU",43,0,716
"Aaron Brooks","brookaa01","1985-01-14","2015","PG",30,"CHI",82,21,1885
"Aaron Brooks","brookaa01","1985-01-14","2013","PG",28,"HOU",7,0,38
"Aaron Brooks","brookaa01","1985-01-14","2014","PG",29,"DEN",29,12,841
"Aaron Brooks","brookaa01","1985-01-14","2010","PG",25,"HOU",82,82,2919
"Aaron Brooks","brookaa01","1985-01-14","2009","PG",24,"HOU",80,35,1998
"Aaron Brooks","brookaa01","1985-01-14","2011","PG",26,"PHO",25,5,473
"Aaron Brooks","brookaa01","1985-01-14","2017","PG",32,"IND",65,0,894
"Aaron Gordon","gordoaa01","1995-09-16","2019","PF",23,"ORL",78,78,2633
"Aaron Gordon","gordoaa01","1995-09-16","2015","PF",19,"ORL",47,8,797
"Aaron Gordon","gordoaa01","1995-09-16","2021","PF",25,"DEN",25,25,648
"Aaron Gordon","gordoaa01","1995-09-16","2017","SF",21,"ORL",80,72,2298
"Aaron Gordon","gordoaa01","1995-09-16","2021","PF",25,"ORL",25,25,736
"Aaron Gordon","gordoaa01","1995-09-16","2020","PF",24,"ORL",62,62,2017
"Aaron Gordon","gordoaa01","1995-09-16","2018","PF",22,"ORL",58,57,1909
"Aaron Gordon","gordoaa01","1995-09-16","2016","PF",20,"ORL",78,37,1863
"Aaron Gray","grayaa01","1984-12-07","2012","C",27,"TOR",49,40,813
"Aaron Gray","grayaa01","1984-12-07","2009","C",24,"CHI",56,18,715
"Aaron Gray","grayaa01","1984-12-07","2013","C",28,"TOR",42,16,513
"Aaron Gray","grayaa01","1984-12-07","2008","C",23,"CHI",61,1,613
"Aaron Gray","grayaa01","1984-12-07","2010","C",25,"CHI",8,0,50
